location,totaltweets,retweetcount,hashtags,date,Clean Text,Sentiment
Copenhagen,3127,1,"['dkpol', 'dkgreen']",2021-08-19 08:22:21,dejligt  at  også støtter en ensartet klimaafgift  hvor landbruget skal betale det samme som resten af samfundet   bare irriterende  at det er politikerne der står i vejen     ,-1.0
,54413,5,"['metoo', 'dkpol']",2021-08-19 08:22:06,tak til de modige kvinder  der er stået frem      ,4.0
Valby,1429,0,"['dkpol', 'dkkrim']",2021-08-19 08:21:39,værkmestrene skal tilbyde de indsatte meningsfyldt arbejde  men de oplever  at den opgave er svær at løfte   ,-1.0
Denmark,2575,0,"['sygeplejerske', 'sygeplejersker', 'dkpol', 'sundpol']",2021-08-19 08:20:45,ironisk at se  strejken som en reaktion over deres fagforbunds inkompetence  som bevidst har kastet de unge under bussen  første lønstigning efter   års anciennitet i regionerne er alt for sent     ,-3.0
,17253,5,"['metoo', 'dkpol']",2021-08-19 08:20:37,tak til de modige kvinder  der er stået frem      ,4.0
"Glostrup, Danmark",5635,0,"['sundpol', 'dkpol', 'dksund', 'bwrtdk', 'amygdala']",2021-08-19 08:20:11, har du kontrollen  eller styrer amygdala din hverdag     går du i frygt  angst  er bange for eller har mange  tvangs tanker om fremtiden  så      klik på linket nedenunder for at læse mere om amygdala        ,-7.0
,3895,4,"['dkgreen', 'dkpol']",2021-08-19 08:20:09,hvis nogen står og mangler opskriften på klimakrisen  så er den her    ,-2.0
,11831,1,['dkpol'],2021-08-19 08:20:00,på bare fire dage gik en planlagt kontrolleret vestlig tilbagetrækning fra kabul til at være en kaotisk masseevakuering  forløbet kalder på selvransagelse  erkender udenrigsminister    ,-5.0
Faroe Islands,6459,0,"['dkpol', 'farpol']",2021-08-19 08:18:02, ændringer i landstyret  lagmanden indkalder til pressemøde kl            kan det være  jeg har hørt rygter;  men  jeg tør ikke rigtig håbe…  åh  vil lagmanden vise miðflokken exitudgangen      ,2.0
,1310,3,"['rekrutteringsplan', 'dkpol', 'kompoldk']",2021-08-19 08:17:45,rekrutteringskrise  pædagogmanglen i storkøbenhavn er endnu værre end først antaget     nye pædagoger til      flere børn siden       to fede streger under behovet for en national     ,-3.0
Danmark,93190,1,"['twitterhjerne', 'dkpol']",2021-08-19 08:17:02,hvilken  dansk   organisation skal man støtte økonomisk for at støtte afghanske piger og kvinders rettigheder og sikkerhed bedst   ,5.0
Copenhagen,9059,2,"['detblaa', 'dkgreen', 'dkpol', 'dktrp']",2021-08-19 08:16:58,rigtigt glædeligt  at  har valgt efuels til sit første nye grønne skib  i modsætning til biobrændstoffer er efuels skalerbare på en bæredygtig måde      ,3.0
Lynæs,7660,1,"['twitterhjerne', 'dkpol']",2021-08-19 08:16:22,hvilken  dansk   organisation skal man støtte økonomisk for at støtte afghanske piger og kvinders rettigheder og sikkerhed bedst   ,5.0
,7454,2,"['dkpol', 'fakenews']",2021-08-19 08:15:56,skandale  tv   nyhederne kalder muslimsk migrant fra afghanistan for ‘dansker’      via ,-3.0
,5602,0,"['bitcoin', 'dkpol']",2021-08-19 08:15:53,croptopforbud &gt; cryptoforbud   ,0.0
,4984,19,"['stopdet', 'dkpol', 'dkmedier', 'sundpol', 'Covid19dk', 'coronadk', 'COVID19']",2021-08-19 08:15:41,corona vira muterer kontinuerligt  og massevaccination fremmer naturligvis selektion af mutationer  der ikke er følsomme for vacciner  her i cape cod     juli         ,1.0
,2429,0,['dkpol'],2021-08-19 08:15:00,  kære   jeg har respekt for dig  for at du deler dine refleksioner  og for at du  i modsætning til visse andre  står ved dine handlinger  selv om mit kryds sættes et andet sted  så har du været en berigelse for ,4.0
Christiansborg,24187,1,['dkpol'],2021-08-19 08:15:00,på bare fire dage gik en planlagt kontrolleret vestlig tilbagetrækning fra kabul til at være en kaotisk masseevakuering  forløbet kalder på selvransagelse  erkender udenrigsminister    ,-5.0
"Hovedstaden, Danmark",2929,2,"['dktrp', 'elbil', 'dkpol', 'dkgreen']",2021-08-19 08:14:55,har i  skrevet lidt om omstilling af   i den lette transport er  den oplagte løsning mens meget tyder på at brint og el bliver den langsigtede løsning i  ptx bliver dog også meget vigtig ikke mindst i og    ,4.0
"Odense, Danmark",13,14,['dkpol'],2021-08-19 08:14:18,altså lidt træls  at en fiktiv statsminister fra      har en mere ambitiøs klimapolitik end den der er der i virkeligheden  ,2.0
,4556,4,"['dkgreen', 'dkpol']",2021-08-19 08:14:03,hvis nogen står og mangler opskriften på klimakrisen  så er den her    ,-2.0
København,10186,3,"['rekrutteringsplan', 'dkpol', 'kompoldk']",2021-08-19 08:13:58,rekrutteringskrise  pædagogmanglen i storkøbenhavn er endnu værre end først antaget     nye pædagoger til      flere børn siden       to fede streger under behovet for en national     ,-3.0
"Frederiksberg, Denmark",3805,3,"['stopdet', 'dkpol', 'dkmedier', 'sundpol', 'Covid19dk', 'coronadk', 'COVID19']",2021-08-19 08:13:18,vigtigt indlæg fra geert vanden bossche om coronahåndteringen og specielt vaccinestrategien         ,0.0
Danmark,31319,7,"['dkpol', 'dkgreen']",2021-08-19 08:13:13,    mio pattegrise døde i den danske svineindustri i       inden de blev en måned gamle  det er måske det allermest håndgribelige symbol på en syg industri  hvad er dit svar      ,-5.0
"Copenhagen, Denmark",50578,1,"['HumanitarianDay', 'dkaid', 'dkpol']",2021-08-19 08:12:59,vi sender de bedste tanker til de mange dygtige og modige nødhjælpsmedarbejdere  der lige nu kæmper for at redde liv og beskytte civile i verdens mange brændpunkter  og en særlig tanke til vores nødhjælpspartnere i afghanistan    ,4.0
,2462,7,"['dkpol', 'dkgreen']",2021-08-19 08:12:53,    mio pattegrise døde i den danske svineindustri i       inden de blev en måned gamle  det er måske det allermest håndgribelige symbol på en syg industri  hvad er dit svar      ,-5.0
,4984,1,"['dkpol', 'Afghanistan']",2021-08-19 08:12:41,måden vores relevante ministre inkl  statsministeren brugte tiden i weekenden viser med tydelighed  hvor meget de plejer egne og hinandens interesser  og ikke danmarks ,1.0
