,location,totaltweets,retweetcount,hashtags,date,Clean Text,Sentiment
71,"Næstved, Danmark",86,2,"['dkpol', 'COVID19', 'vaccination']",2021-08-10 20:16:26,dørene åbnes nu på vid gab i langt størstedelen af vores vaccinationscentre i region sjælland  i    vaccinationscentre  mindst ét i hver kommune  kan borgere blive vaccineret mod covid   uden tidsbestilling fra den  /       ,0.0
72,#eUSSR-vassalstate denmark,48495,3,"['dkpol', 'covid19dk']",2021-08-10 16:27:29,hvad mener du  bør vi også vaccinere børn under    år mod corona      ,0.0
73,EDEN,6455,3,"['dkpol', 'covid19dk']",2021-08-10 16:19:32,hvad mener du  bør vi også vaccinere børn under    år mod corona      ,0.0
74,Copenhagen,310,3,"['dkpol', 'covid19dk']",2021-08-10 16:18:35,hvad mener du  bør vi også vaccinere børn under    år mod corona      ,0.0
75,Denmark,26395,0,"['dkmedier', 'dkpol', 'COVID19', 'DeltaVariant']",2021-08-10 14:09:34,        tal for dig selv  jeg vil gerne have dem ,0.0
76,"Copenhagen, Denmark",1041,0,"['dkmedier', 'dkpol', 'COVID19', 'DeltaVariant']",2021-08-10 11:50:46, vi behøver ikke de her opdateringer  de sårbare er vaccineret/tilbudt vaccine for længe siden  det er de unge ikke sårbare hvor medicinske eksperter siger de slet ikke er bekymrede  der er ikke pres på hospitaler  tværtimod  kom nu videre     ,-2.0
77,Denmark,77444,1,"['dkpol', 'COVID19dk']",2021-08-10 11:15:07,danmark ligger i henholdsvis top   og top   i international sammenhæng  når man ser på  hvor store andele af befolkningen der har fået ét eller to vaccinestik mod covid         ,5.0
78,Danmark,105382,1,"['dkpol', 'COVID19dk']",2021-08-10 11:07:56,danmark ligger i henholdsvis top   og top   i international sammenhæng  når man ser på  hvor store andele af befolkningen der har fået ét eller to vaccinestik mod covid         ,5.0
79,Danmark,31298,4,"['dkpol', 'covid19dk']",2021-08-10 07:23:50,det bør stå klart  at det ikke først er under coronakrisen  at ufriheden har gjort sit indtog  den har haft tag i os alt for længe  skriver chefredaktør claes theilgaard i denne leder     ,1.0
80,,1282,2,"['dkpol', 'covid19dk']",2021-08-09 17:10:10,det bør stå klart  at det ikke først er under coronakrisen  at ufriheden har gjort sit indtog  den har haft tag i os alt for længe  skriver jeg i dagens leder på      ,1.0
81,Denmark,3367,4,"['dkpol', 'covid19dk']",2021-08-09 16:00:57,klar tale fra   har han ret      ,1.0
82,"København, Hovedstaden",1175,2,"['dkpol', 'covid19dk']",2021-08-09 15:53:58,det bør stå klart  at det ikke først er under coronakrisen  at ufriheden har gjort sit indtog  den har haft tag i os alt for længe  skriver jeg i dagens leder på      ,1.0
83,EDEN,6455,4,"['dkpol', 'covid19dk']",2021-08-09 15:32:28,det bør stå klart  at det ikke først er under coronakrisen  at ufriheden har gjort sit indtog  den har haft tag i os alt for længe  skriver chefredaktør claes theilgaard i denne leder     ,1.0
84,Copenhagen,310,4,"['dkpol', 'covid19dk']",2021-08-09 14:44:15,det bør stå klart  at det ikke først er under coronakrisen  at ufriheden har gjort sit indtog  den har haft tag i os alt for længe  skriver chefredaktør claes theilgaard i denne leder     ,1.0
85,EDEN,6455,4,"['dkpol', 'covid19dk']",2021-08-09 14:14:15,klar tale fra   har han ret      ,1.0
86,"Fredericia, Danmark",3386,0,"['dkpol', 'COVID19', 'covid19dk']",2021-08-09 11:30:53,corona restriktionerne har udviklet sig til et absurd cirkus  regler skal give mening ellers mister myndighederne enhver troværdighed og autoritet    dette har  desværre endnu ikke forstået en klap af     ,-4.0
87,"København, Hovedstaden",1175,4,"['dkpol', 'covid19dk']",2021-08-09 10:57:48,klar tale fra   har han ret      ,1.0
88,Copenhagen,310,4,"['dkpol', 'covid19dk']",2021-08-09 10:57:17,klar tale fra   har han ret      ,1.0
89,Syddanmark,343980,2,"['DeltaVariant', 'dkpol', 'Covid19']",2021-08-09 08:47:53,næh dog  børn blir syge og dør af  i indien  ingen reaktion  den samme variant  overtager i vesten og børn begynder at blive alvorligt syge    surprisedpicachu jpg    ,-4.0
90,,45551,2,"['DeltaVariant', 'dkpol', 'Covid19']",2021-08-09 08:44:14,næh dog  børn blir syge og dør af  i indien  ingen reaktion  den samme variant  overtager i vesten og børn begynder at blive alvorligt syge    surprisedpicachu jpg    ,-4.0
91,,3407,0,"['dkpol', 'covid19dk']",2021-08-09 07:45:20,mette fik chancen for at bide til bavarian nordics covid    vaccine bolle  valgte en hygge tur til israel  brugte dyrbar tid på some med makrelmadder  fodbold og ol  nu er løbet kørt  risikoen ved investeringen er med dagens resultater reduceret og prisen steget  ,4.0
92,,4906,0,[],2021-08-17 10:34:53,   er det diskriminerende og ulovligt hvis man afviser at ansætte en medarbejder der ikke vil vaccineres mod covid    er det diskriminerende og ulovligt  hvis jeg i mit hjem  selv bestemmer hvilket klientel jeg lukker ind ,-11.0
93,Denmark,8301,0,[],2021-08-17 10:19:29,han mener ikke  covid   er relevant i afghanistan  er han så en slags coronabenægter  ,0.0
94,Denmark,8301,0,[],2021-08-17 10:11:24,  jeg troede  covid   var liv eller død ,-2.0
95,Somewhere over the rainbow sky,153130,0,[],2021-08-17 10:07:44, thol’kuthi hey…bekuvele kubheda before covid   happened ,0.0
96,"København, Hovedstaden",452,2,"['covid19dk', 'dklifescience']",2021-08-17 09:16:30,vaccinekrav fra arbejdsgiver er ikke i orden   advarer sammen med  og  genmab mod at stille krav om vaccine til medarbejdere     ,-3.0
97,Nordic,53547,2,"['covid19dk', 'dkmedier', 'dkpol']",2021-08-17 09:14:52,coronakommission i dk nu   det skal være langt bredere end minksagen og involvere epidemilov  sygdomskategori  demokratiet  medicinalindustriens magt  masseudrulning af nødgodkendte vacciner osv     ,0.0
98,"Mecca, Saudi-Arabia",28225,0,[],2021-08-17 09:11:51,     jet fuel cant melt bijlmer flats,0.0
99,Denmark,8301,0,[],2021-08-17 08:52:27, hvad er covid  situationen i afghanistan ,0.0
100,"Aarhus, Denmark",2725,1,['covid19'],2021-08-17 08:46:53,pandemix center stiller med et team til  aarhus covid   datathon       vi glæder os til at dykke ned i de mange spændende  data vi har i dk i samspil med andre  @ aarhusuni_int ,6.0
101,Region Hovedstaden,203,0,"['COVID19', 'diagnostik']",2021-08-17 08:46:14,biomarkøren supar  udviklet her hos os af blandt andre forskningsleder  professor ove andersen viste potentiale under covid    ​​kan hjælpe akutmodtagelsen med at finde de patienter  der har behov for indlæggelse og behandling    ,2.0
102,"Roskilde University, Denmark.",191,1,['covid19'],2021-08-17 08:13:19,pandemix center stiller med et team til  aarhus covid   datathon       vi glæder os til at dykke ned i de mange spændende  data vi har i dk i samspil med andre  @ aarhusuni_int ,6.0
103,Denmark,8301,0,[],2021-08-17 08:10:58,  artiklen handler om behandling af covid   og ikke om vacciner ,0.0
104,Denmark,8301,0,"['dkmedier', 'covid19dk']",2021-08-17 08:00:56, hvilken fejl har de så begået i israel   ,-1.0
105,"Copenhagen, Denmark",2422,27,"['stopdet', 'dkpol', 'dkmedier', 'sundpol', 'Covid19dk', 'coronadk', 'COVID19']",2021-08-17 07:39:03,myocarditis og pericarditis efter vaccination for covid        indlæggelser pr         vaccinerede  myocarditis med overvægt af yngre mænd   indlæggelser underestimerer det reelle antal         ,-1.0
106,"Copenhagen, Denmark",2422,21,"['stopdet', 'dkpol', 'dkmedier', 'sundpol', 'Covid19dk', 'coronadk', 'COVID19']",2021-08-17 07:38:44,nyttig viden om sygehustestning  troede faktisk ikke det stod så slemt til  teststrategien er fuldkommen irrationel som det fremgår af artiklen her           ,0.0
107,"Copenhagen, Denmark",2422,46,"['stopdet', 'dkpol', 'dkmedier', 'sundpol', 'Covid19dk', 'coronadk', 'COVID19']",2021-08-17 07:34:06,det her er vist den første videnskabelige artikel  der viser  hvad der længe har været opfattelsen  at vaccinerede med breakthroughinfektion udskiller lige så mange vira som uvaccinerede med infektion         ,0.0
108,,732,0,[],2021-08-17 07:30:44,     ja det går skidt i israel nu  nye studier fra israel viser dog  at vaccinerede har   gange mindre risiko for at få et svært covid   forløb ved smitte  er du vaccineret pia  jeg er selv ,-7.0
109,"København, Hovedstaden",2380,2,"['covid19dk', 'dklifescience']",2021-08-17 07:26:31,vaccinekrav fra arbejdsgiver er ikke i orden   advarer sammen med  og  genmab mod at stille krav om vaccine til medarbejdere     ,-3.0
110,,3709,27,"['stopdet', 'dkpol', 'dkmedier', 'sundpol', 'Covid19dk', 'coronadk', 'COVID19']",2021-08-17 07:09:35,myocarditis og pericarditis efter vaccination for covid        indlæggelser pr         vaccinerede  myocarditis med overvægt af yngre mænd   indlæggelser underestimerer det reelle antal         ,-1.0
111,"København, Hovedstaden",3245,2,"['covid19dk', 'dklifescience']",2021-08-17 06:58:33,vaccinekrav fra arbejdsgiver er ikke i orden   advarer sammen med  og  genmab mod at stille krav om vaccine til medarbejdere     ,-3.0
112,Danmark,16035,21,"['stopdet', 'dkpol', 'dkmedier', 'sundpol', 'Covid19dk', 'coronadk', 'COVID19']",2021-08-17 06:58:30,nyttig viden om sygehustestning  troede faktisk ikke det stod så slemt til  teststrategien er fuldkommen irrationel som det fremgår af artiklen her           ,0.0
113,,274,5,"['Covid19dk', 'Sundpol']",2021-08-17 06:41:35,vi møder de unge dér  hvor de er  i denne uge åbner region sjælland popup vaccinationscentre på uddannelsesinstitutioner yderligere    forskellige steder  her taler en af vores medarbejdere med en elev på slotshaven gymnasium i holbæk i sidste uge    ,0.0
114,"København, Danmark",283,3,"['covid19', 'dkpol', 'sundpol', 'arbejde']",2021-08-17 06:36:35,vi stod i front under epidemien  men nu bliver vi smidt væk   ruth rasmussen er den seneste i rækken af fortællinger om frontpersonale  der oplever at blive ramt økonomisk pga   senfølger     ,-2.0
115,Aarhus,2110,9,"['stopdet', 'dkpol', 'dkmedier', 'sundpol', 'Covid19dk', 'coronadk', 'COVID19']",2021-08-17 06:27:14,ansigtsmasker har som bekendt ingen dokumenterbar effekt på smittespredning af coronavirus   heller ikke i malaysia   / /   betyder                    ,0.0
116,Danmark,18678,0,[],2021-08-17 06:15:32,kina anerkender talebans overtagelse af afghanistan og er begyndt diplomatiske forbindelser med dem    taleban har  angiveligt  forbudt covid    vaccinen    og sådan fandt corona hjem igen  slut,-2.0
117,,22174,0,"['COVID19', 'huskebadge']",2021-08-17 06:13:17,vi ta’r en tur i tidsmaskinen i dag… ligesom både fodboldem      og ol      blev afholdt i      pga  er det i dag  “delegeretmøde nov     ”  lokalformænd fra hele landet samles på nyborg strand  mindset; beretning er om       fremtid er       ,0.0
118,"København, Danmark",4887,0,"['FV21', 'COVID19dk', 'dkpol']",2021-08-17 05:58:11,      lad os nu bare tage et  for at få renset luften efter   ,0.0
